source_id,source_name,repository_path,file_type,source_category,data_domain,reporting_period,date_range,row_count,column_count,file_size,encoding,sheet_names,candidate_project_id_fields,candidate_date_fields,candidate_cost_fields,candidate_progress_fields,candidate_status_fields,candidate_sector_fields,candidate_ministry_fields,candidate_state_fields,candidate_agency_fields,candidate_issue_fields,candidate_milestone_fields,external_dataset_indicator,current_vs_historical_indicator,content_hash,notes
SRC_PRI_011,FR_May2025.pdf,primary dataset/FR_May2025.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,MAY2025,MAY2025,212,8,9995553,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,1326fc47d272e8f2225db45645bd1dd4eacee1ab4a15bff8a1f6edfc70b45171,Contains detailed project-level monitoring records starting at page 19.
SRC_PRI_012,FlashReport_April2026 (2).pdf,primary dataset/FlashReport_April2026 (2).pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,APRIL2026,APRIL2026,163,8,3215216,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,90a6959e976da6928440efdea9c68847d1178356e4c0ebd078c51026ddb118d5,Contains detailed project-level monitoring records starting at page 55.
SRC_PRI_013,FlashReport_August_2025.pdf,primary dataset/FlashReport_August_2025.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,AUGUST 2025,AUGUST 2025,67,8,5791675,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,7b28c68ca1fd697f2856fa4b5c79b5c26fa6e8f0be4d0897cc105958e01bf2c8,Contains detailed project-level monitoring records starting at page 2.
SRC_PRI_014,FlashReport_December_2025.pdf,primary dataset/FlashReport_December_2025.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,DECEMBER 2025,DECEMBER 2025,108,8,6398361,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,Contains detailed project-level monitoring records starting at page 50.
SRC_PRI_015,FlashReport_February_2026.pdf,primary dataset/FlashReport_February_2026.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,FEBRUARY 2026,FEBRUARY 2026,168,8,6738453,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,f29010c2d69ca185c8f36e6d8539d460b4ebe81753994dd21fbe63e057817df9,Contains detailed project-level monitoring records starting at page 65.
SRC_PRI_016,FlashReport_January_2026.pdf,primary dataset/FlashReport_January_2026.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,JANUARY 2026,JANUARY 2026,134,8,6544662,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,9c043ad4a0acb01dd6f00fe2dbca60f812ffa981daa5143b24f7c5ec37f64c83,Contains detailed project-level monitoring records starting at page 62.
SRC_PRI_017,FlashReport_July_2025.pdf,primary dataset/FlashReport_July_2025.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,JULY 2025,JULY 2025,67,8,5823487,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,1064c963c8afacf903ad9cc876fa3615c4b4b28ccdae920a8ff392af37111508,Contains detailed project-level monitoring records starting at page 2.
SRC_PRI_018,FlashReport_July_2026 (2).pdf,primary dataset/FlashReport_July_2026 (2).pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,JULY 2026,JULY 2026,153,8,5237660,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,7201db10769fb541aa66651097a29277ea86637ed9e71c7264ceb64d5af216a5,Contains detailed project-level monitoring records starting at page 55.
SRC_PRI_019,FlashReport_June_2026 (1).pdf,primary dataset/FlashReport_June_2026 (1).pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,JUNE 2026,JUNE 2026,161,8,5242199,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,6dc3e6bd73d190e495fff1aa00c4d504e2f4a078951cf2d8021e6761641cb739,Contains detailed project-level monitoring records starting at page 59.
SRC_PRI_020,FlashReport_March_2026.pdf,primary dataset/FlashReport_March_2026.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,MARCH 2026,MARCH 2026,157,8,6827436,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,e10411522bbc6caec5f3ef143c8399ad71221ac232e19410c1dfe87eb5c90253,Contains detailed project-level monitoring records starting at page 55.
SRC_PRI_021,FlashReport_May2026 (1).pdf,primary dataset/FlashReport_May2026 (1).pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,MAY2026,MAY2026,163,8,3217996,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,480d98632cd1b1d4fe70b58a5a753924b2735b0135e7c8507c1ec05ff2ddf005,Contains detailed project-level monitoring records starting at page 54.
SRC_PRI_022,FlashReport_November_2025.pdf,primary dataset/FlashReport_November_2025.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,NOVEMBER 2025,NOVEMBER 2025,73,8,5845019,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,db9e2eff8a2ecc21285280fd85dfbb4df9ef99cbda74987ccd4a3edcbff28eb9,Contains detailed project-level monitoring records starting at page 2.
SRC_PRI_023,FlashReport_October_2025.pdf,primary dataset/FlashReport_October_2025.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,OCTOBER 2025,OCTOBER 2025,73,8,5928547,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,4817bb54e983b63233e4538fb2e7adf80c6204a2a976021a71d126e9003edbc3,Contains detailed project-level monitoring records starting at page 2.
SRC_PRI_024,FlashReport_September_2025.pdf,primary dataset/FlashReport_September_2025.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,SEPTEMBER 2025,SEPTEMBER 2025,72,8,6007329,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,520f100f2752c07c7d8e1180cce2258a6966d21b6e37fcbecca0b098835ef318,Contains detailed project-level monitoring records starting at page 2.
SRC_PRI_025,QPISR_QR_1st_2025-26.pdf,primary dataset/QPISR_QR_1st_2025-26.pdf,pdf,PROJECT_MONITORING,Infrastructure Project Monitoring,JUNE 2025,JUNE 2025,261,8,7285075,binary/pdf,N/A,Project Code / (Project Code) / PMGID / Legacy OCMS Code,"Date of Approval, Original DoC, Revised DoC, Anticipated DoC","Original Cost, Revised Cost, Cumulative Expenditure",Physical Progress (%),Inferred from DoC and Progress,Sector / Sub-Sector header,Ministry / Department header,State / Multi-States,Agency / Implementing Agency,Document narrative & delay annotations,Target / Revised DoC milestones,FALSE,CURRENT_SNAPSHOT_SERIES,5363459134f4c8438c63b09a5487325d873d2310a9492a9fdf626657773bf640,Contains detailed project-level monitoring records starting at page 34.
SRC_PRI_026,Review Report Dec 25.pdf,primary dataset/Review Report Dec 25.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,DEC 25,DEC 25,59,6,5290644,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,99d0b238cd5bf49552e7615ac7c482d5c2cc649c50b5d7c9c889d9471762a216,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_027,Review Report Jan26.pdf,primary dataset/Review Report Jan26.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,JAN26,JAN26,56,6,5216018,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,a05815166a432d5c01f7b6dbd44148d60161e61217f0056d4dc101bcf77b992f,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_028,ReviewReportNov25.pdf,primary dataset/ReviewReportNov25.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,NOV25,NOV25,60,6,4053211,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,36df715a0499360706e5a1af2d923a362cfa70bdf3de029dc4a47d628e5f175a,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_029,ReviewReportOct25.pdf,primary dataset/ReviewReportOct25.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,OCT25,OCT25,58,6,3084453,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,e8dcce211b9e8ac02c2edbb6e863271939a9198aad758494d65949a78e788810,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_PRI_030,ReviewReportSep25.pdf,primary dataset/ReviewReportSep25.pdf,pdf,SECTOR_PERFORMANCE,Macro Sectoral Production Benchmarks,SEP25,SEP25,64,6,5657875,binary/pdf,N/A,N/A (Sectoral Aggregate),"Month/Year of review, Cumulative FY",Sectoral capital expenditure / targets,Target achievement percentage,Target achieved / below target,Sector Name,Line Ministry,Regional / National,"Sectoral PSUs (e.g. CIL, NTPC)",Bottlenecks cited in sector notes,Annual & monthly targets,FALSE,HISTORICAL_BENCHMARK,a932cb0ed14ae5521cbb0cb55e35d8cfd928c855bf6dfd5e7b924dbc44dd47fb,"Contains sector-level target vs actual infrastructure achievements (Power, Coal, Steel, etc.)."
SRC_EXT_001,SPPIs_quarterly_index_202608.xlsx,Secondary dataset/WPI and PPIs/SPPIs_quarterly_index_202608.xlsx,xlsx,EXTERNAL_INDICATOR,Price Index (Inflation / Deflator),2023-04 to 2026-08,2023-04 to 2026-08,50,40,10919,utf-8,Monthly / Quarterly Index,N/A (Commodity Code),Month-Year columns,Index values,N/A,N/A,Commodity Group / Sector,"Office of Economic Adviser, DPIIT",All India,DPIIT,N/A,N/A,TRUE,EXTERNAL_MONTHLY_INDEX,EXTERNAL,Used for inflation adjustment and material price pressure indicators.
SRC_EXT_002,oppi_monthly_index_202608.xlsx,Secondary dataset/WPI and PPIs/oppi_monthly_index_202608.xlsx,xlsx,EXTERNAL_INDICATOR,Price Index (Inflation / Deflator),2023-04 to 2026-08,2023-04 to 2026-08,50,40,50772,utf-8,Monthly / Quarterly Index,N/A (Commodity Code),Month-Year columns,Index values,N/A,N/A,Commodity Group / Sector,"Office of Economic Adviser, DPIIT",All India,DPIIT,N/A,N/A,TRUE,EXTERNAL_MONTHLY_INDEX,EXTERNAL,Used for inflation adjustment and material price pressure indicators.
SRC_EXT_003,trial_ippi_monthly_index_202608.xlsx,Secondary dataset/WPI and PPIs/trial_ippi_monthly_index_202608.xlsx,xlsx,EXTERNAL_INDICATOR,Price Index (Inflation / Deflator),2023-04 to 2026-08,2023-04 to 2026-08,50,40,11059,utf-8,Monthly / Quarterly Index,N/A (Commodity Code),Month-Year columns,Index values,N/A,N/A,Commodity Group / Sector,"Office of Economic Adviser, DPIIT",All India,DPIIT,N/A,N/A,TRUE,EXTERNAL_MONTHLY_INDEX,EXTERNAL,Used for inflation adjustment and material price pressure indicators.
SRC_EXT_004,wpi_monthly_index_202608.xlsx,Secondary dataset/WPI and PPIs/wpi_monthly_index_202608.xlsx,xlsx,EXTERNAL_INDICATOR,Price Index (Inflation / Deflator),2023-04 to 2026-08,2023-04 to 2026-08,50,40,314265,utf-8,Monthly / Quarterly Index,N/A (Commodity Code),Month-Year columns,Index values,N/A,N/A,Commodity Group / Sector,"Office of Economic Adviser, DPIIT",All India,DPIIT,N/A,N/A,TRUE,EXTERNAL_MONTHLY_INDEX,EXTERNAL,Used for inflation adjustment and material price pressure indicators.
